,loss,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,8.090307235717773,8.590307235717773,75.60478210449219,8.695100784301758,7.843506336212158,8.343506813049316,70.08726501464844,8.371813774108887
1,8.071456909179688,8.571456909179688,75.14550018310547,8.66865062713623,8.083168029785156,8.583168029785156,74.1994857788086,8.613912582397461
2,8.051974296569824,8.551974296569824,74.91307067871094,8.655233383178711,8.253030776977539,8.753030776977539,77.17386627197266,8.784865379333496
3,8.031768798828125,8.531768798828125,74.6168212890625,8.638102531433105,8.355093955993652,8.855093955993652,78.97481536865234,8.886777877807617
4,8.010798454284668,8.510798454284668,74.31755828857422,8.620762825012207,8.414909362792969,8.914909362792969,80.04576110839844,8.946829795837402
5,7.989048957824707,8.489048957824707,74.15088653564453,8.611090660095215,8.421006202697754,8.921006202697754,80.1727523803711,8.953924179077148
6,7.9665069580078125,8.466506958007812,73.7768325805664,8.589344024658203,8.386089324951172,8.886089324951172,79.57587432861328,8.920531272888184
7,7.943166255950928,8.443166732788086,73.38987731933594,8.566789627075195,8.330037117004395,8.830037117004395,78.6109848022461,8.866283416748047
8,7.919021129608154,8.419020652770996,73.11293029785156,8.550609588623047,8.290752410888672,8.790752410888672,77.95503997802734,8.829215049743652
9,7.894070148468018,8.39406967163086,72.57525634765625,8.519111633300781,8.228915214538574,8.728915214538574,76.92628479003906,8.770763397216797
10,7.868307590484619,8.368307113647461,72.1881103515625,8.496358871459961,8.1788911819458,8.6788911819458,76.11481475830078,8.724380493164062
11,7.841733932495117,8.3417329788208,71.81462860107422,8.474350929260254,8.106762886047363,8.606762886047363,74.91905975341797,8.655579566955566
12,7.814347743988037,8.314348220825195,71.37288665771484,8.448247909545898,8.050872802734375,8.550873756408691,74.01639556884766,8.603278160095215
13,7.78615140914917,8.286151885986328,71.1371841430664,8.434286117553711,8.013172149658203,8.513172149658203,73.41645050048828,8.568340301513672
14,7.757144927978516,8.257144927978516,70.66765594482422,8.406405448913574,7.957906723022461,8.457906723022461,72.5108871459961,8.515332221984863
15,7.727323532104492,8.227324485778809,70.14472198486328,8.375244140625,7.914977550506592,8.414977073669434,71.82203674316406,8.474788665771484
16,7.69669771194458,8.196697235107422,69.68309020996094,8.347640037536621,7.866911888122559,8.366911888122559,71.067626953125,8.430161476135254
17,7.665264129638672,8.165264129638672,69.23601531982422,8.320817947387695,7.824910640716553,8.324911117553711,70.41504669189453,8.391366958618164
18,7.633024215698242,8.133024215698242,68.79356384277344,8.294188499450684,7.753695964813232,8.253695487976074,69.26168060302734,8.322360038757324
19,7.599981307983398,8.099981307983398,68.20735168457031,8.258773803710938,7.709868431091309,8.209868431091309,68.58507537841797,8.281610488891602
20,7.566136837005615,8.066136360168457,67.81822967529297,8.235182762145996,7.67072868347168,8.17072868347168,67.9851303100586,8.245309829711914
21,7.531495571136475,8.031495094299316,67.14130401611328,8.19398021697998,7.617746353149414,8.117746353149414,67.13582611083984,8.193645477294922
22,7.496058464050293,7.996058464050293,66.81462860107422,8.17402172088623,7.594970226287842,8.094969749450684,66.78778839111328,8.172379493713379
23,7.4598307609558105,7.959829807281494,66.35343170166016,8.145761489868164,7.563249111175537,8.063249588012695,66.33489990234375,8.144623756408691
24,7.422813415527344,7.922813415527344,65.66143798828125,8.103174209594727,7.563332557678223,8.063332557678223,66.38804626464844,8.147886276245117
25,7.385010719299316,7.885010719299316,65.41352081298828,8.087862968444824,7.527907848358154,8.027907371520996,65.8520278930664,8.1149263381958
26,7.3464250564575195,7.8464250564575195,64.1442642211914,8.009011268615723,7.478240013122559,7.978240013122559,65.09862518310547,8.068371772766113
27,7.307061195373535,7.807061195373535,64.10774230957031,8.006731033325195,7.401837348937988,7.901837348937988,63.911338806152344,7.994456768035889
28,7.266923427581787,7.766923427581787,63.52328872680664,7.970149993896484,7.348698139190674,7.848698139190674,63.07917022705078,7.942239761352539
29,7.226014614105225,7.726014614105225,62.6934700012207,7.9179205894470215,7.338466167449951,7.838466167449951,62.936378479003906,7.9332451820373535
30,7.185019493103027,7.684361934661865,62.43135452270508,7.901351451873779,7.0466628074646,7.5466628074646,58.6640625,7.659246921539307
31,7.1420111656188965,7.642012119293213,61.936737060546875,7.86998987197876,6.957690238952637,7.457690238952637,57.42440414428711,7.5778889656066895
32,7.09883975982666,7.598839282989502,61.241554260253906,7.825698375701904,6.9347333908081055,7.4347333908081055,57.134178161621094,7.558715343475342
